pharos_id,dataset_id,sample_id,animal_id,host_species,host_species_ncbi_tax_id,spatial_uncertainty,collection_date,collection_method_or_tissue,detection_method,primer_sequence,primer_citation,detection_target,detection_target_ncbi_tax_id,detection_outcome,detection_measurement,detection_measurement_units,pathogen,pathogen_ncbi_tax_id,genbank_accession,detection_comments,organism_sex,dead_or_alive,health_notes,life_stage,age,mass,length,latitude,longitude,wkt
prjDRDdtkMtWe-setAKoePEch9e-recckRQ1e2UDG,setAKoePEch9e,258,,Vulpes vulpes,9627,,2011-06-06,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.437523,13.56022,POINT(13.56022 52.437523)
prjDRDdtkMtWe-setAKoePEch9e-recJU0Q3oGQra,setAKoePEch9e,259,,Vulpes vulpes,9627,,2011-06-23,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.441995,13.270499,POINT(13.270499 52.441995)
prjDRDdtkMtWe-setAKoePEch9e-recUrf6nXfLgc,setAKoePEch9e,260,,Vulpes vulpes,9627,,2011-06-26,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.501462,13.620608,POINT(13.620608 52.501462)
prjDRDdtkMtWe-setAKoePEch9e-reciXykz3mlxt,setAKoePEch9e,261,,Vulpes vulpes,9627,,2011-07-11,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,unknown,dead,,juvenile,,,,52.485151,13.380075,POINT(13.380075 52.485151)
prjDRDdtkMtWe-setAKoePEch9e-recyIf4lh1cJ0,setAKoePEch9e,262,,Vulpes vulpes,9627,,2011-07-25,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.518385,13.255947,POINT(13.255947 52.518385)
prjDRDdtkMtWe-setAKoePEch9e-recDzXrhLMWed,setAKoePEch9e,263,,Vulpes vulpes,9627,,2011-07-25,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.426899,13.289363,POINT(13.289363 52.426899)
prjDRDdtkMtWe-setAKoePEch9e-recAhflgTMxKV,setAKoePEch9e,264,,Vulpes vulpes,9627,,2011-08-05,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.487307,13.434042,POINT(13.434042 52.487307)
prjDRDdtkMtWe-setAKoePEch9e-rec7f3oteNUDB,setAKoePEch9e,265,,Vulpes vulpes,9627,,2011-08-09,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.454678,13.360115,POINT(13.360115 52.454678)
prjDRDdtkMtWe-setAKoePEch9e-rec8SfYyarRa2,setAKoePEch9e,266,,Vulpes vulpes,9627,,2011-08-10,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.599988,13.371238,POINT(13.371238 52.599988)
prjDRDdtkMtWe-setAKoePEch9e-rec4sXl4NDj05,setAKoePEch9e,267,,Vulpes vulpes,9627,,2011-08-12,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.507757,13.252846,POINT(13.252846 52.507757)
